2021-08-28 07:35:51,292 [Worker-Main7] INFO Treasure2 | TreasureLootTableRegistry.java:121 | reading loot resource file from stream.
2021-08-28 07:37:49,216 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension minecraft:the_end
2021-08-28 07:37:49,224 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension mythicbotany:alfheim
2021-08-28 07:37:49,231 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension atum:atum
2021-08-28 07:37:49,238 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension wrd:the_deeper_depths
2021-08-28 07:37:49,246 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension undergarden:undergarden
2021-08-28 07:37:57,396 [Worker-Main6] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 23 84 103
2021-08-28 07:38:03,778 [Worker-Main6] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 167 76 -25
2021-08-28 07:38:10,048 [Worker-Main6] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 183 63 215
2021-08-28 07:38:17,893 [Worker-Main6] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: -25 70 -73
2021-08-28 07:38:29,283 [Worker-Main6] INFO Treasure2 | WellGenerator.java:150 | CHEATER! Wishing Well at coords: 181 72 279
2021-08-28 07:38:29,855 [Worker-Main6] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: -41 64 279
2021-08-28 07:38:52,819 [Worker-Main7] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 295 64 -121
2021-08-28 07:59:33,573 [Worker-Main23] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! SCARCE chest at coords: 103 63 343
2021-08-28 08:00:04,096 [Worker-Main23] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 279 101 343
2021-08-28 08:02:04,886 [Worker-Main4] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: -169 68 391
2021-08-28 08:03:11,998 [Worker-Main23] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: -9 72 471
2021-08-28 08:03:19,957 [Worker-Main4] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 263 65 503
2021-08-28 08:03:29,465 [Worker-Main23] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 375 66 119
2021-08-28 08:03:59,087 [Worker-Main4] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: -121 74 567
2021-08-28 08:04:07,715 [Worker-Main23] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 87 63 599
2021-08-28 08:04:20,164 [Worker-Main4] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 199 139 663
2021-08-28 08:04:33,963 [Worker-Main4] INFO Treasure2 | WellGenerator.java:150 | CHEATER! Wishing Well at coords: 309 64 693
2021-08-28 08:04:36,594 [Worker-Main23] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! SCARCE chest at coords: 327 64 711
2021-08-28 08:04:47,078 [Worker-Main23] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: -25 63 759
2021-08-28 08:05:40,111 [Worker-Main4] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! EPIC chest at coords: 183 112 839
2021-08-28 08:05:53,099 [Worker-Main23] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: -169 63 871
2021-08-28 08:06:00,591 [Worker-Main4] INFO Treasure2 | WellGenerator.java:150 | CHEATER! Wishing Well at coords: -43 64 919
2021-08-28 08:06:04,236 [Worker-Main23] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! SCARCE chest at coords: -41 64 951
2021-08-28 08:06:16,875 [Worker-Main4] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! RARE chest at coords: 263 64 983
2021-08-28 08:06:43,192 [Worker-Main23] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: 103 63 1031
2021-08-28 08:06:53,956 [Worker-Main23] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: -153 68 1047
2021-08-28 08:07:04,892 [Worker-Main4] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: 7 128 1127
2021-08-28 08:09:09,444 [Worker-Main23] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! SCARCE chest at coords: 151 100 1175
2021-08-28 08:09:17,877 [Worker-Main4] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! RARE chest at coords: -105 63 1239
2021-08-28 08:09:31,099 [Worker-Main23] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 23 73 1303
2021-08-28 08:09:45,707 [Worker-Main4] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: 199 67 1319
2021-08-28 08:10:55,805 [Worker-Main4] INFO Treasure2 | WellGenerator.java:150 | CHEATER! Wishing Well at coords: -9 83 1333
2021-08-28 08:11:05,058 [Worker-Main4] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: -185 66 1383
2021-08-28 08:11:16,159 [Worker-Main4] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 71 109 1447
2021-08-28 09:54:46,407 [Worker-Main4] INFO Treasure2 | TreasureLootTableRegistry.java:121 | reading loot resource file from stream.
2021-08-28 09:54:46,413 [Worker-Main4] INFO Treasure2 | TreasureLootTableRegistry.java:142 | master loot resources lists -> DecayResources [supportingResources=[pools/armor/common.json, pools/armor/uncommon.json, pools/armor/scarce.json, pools/armor/rare.json, pools/armor/epic.json, pools/food/common.json, pools/food/uncommon.json, pools/food/scarce.json, pools/food/rare.json, pools/food/epic.json, pools/items/common.json, pools/items/uncommon.json, pools/items/scarce.json, pools/items/rare.json, pools/items/epic.json, pools/potions/common.json, pools/potions/uncommon.json, pools/potions/scarce.json, pools/potions/rare.json, pools/potions/epic.json, pools/tools/common.json, pools/tools/uncommon.json, pools/tools/scarce.json, pools/tools/rare.json, pools/treasure/common.json, pools/treasure/uncommon.json, pools/treasure/scarce.json, pools/treasure/rare.json, pools/treasure/epic.json], chestResources=[chests/common/general_chest.json, chests/uncommon/general_chest.json, chests/scarce/general_chest.json, chests/rare/general_chest.json, chests/epic/general_chest.json], specialResources=[chests/special/black_pearl_well.json, chests/special/cauldron_chest.json, chests/special/crystal_skull_chest.json, chests/special/gold_skull_chest.json, chests/special/skull_chest.json, chests/special/white_pearl_well.json, chests/special/wither_chest.json], specialLootTableFolderLocations=[chests/special], chestLootTableFolderLocations=[chests/common, chests/uncommon, chests/scarce, chests/rare, chests/epic], supportingLootTableFolderLocatoins=null]
2021-08-28 09:54:46,423 [Worker-Main4] INFO Treasure2 | ITreasureResourceRegistry.java:32 | reading resources file from stream.
2021-08-28 09:54:46,424 [Worker-Main4] INFO Treasure2 | ITreasureResourceRegistry.java:53 | resources -> MetaResources [resources=[structures/basic1.json, structures/basic2.json, structures/basic3.json, structures/basic4.json, structures/basic5.json, structures/beached-ship1.json, structures/beached-ship2.json, structures/beached-ship3.json, structures/blacksmith1.json, structures/castle1.json, structures/cave1.json, structures/cave2.json, structures/church1.json, structures/cobb1.json, structures/crypt1.json, structures/crypt2.json, structures/crypt3.json, structures/desert-tower2.json, structures/dingy1.json, structures/fortress1.json, structures/house1.json, structures/ionic1.json, structures/iron-chamber1.json, structures/iron-chamber2.json, structures/large-tower1.json, structures/mine1.json, structures/obsidian-chamber1.json, structures/pirate-chamber1.json, structures/sunken-ship1.json, structures/sunken-ship2.json, structures/sunken-ship3.json, structures/tower1.json, structures/tower2.json, structures/tower3.json, structures/tower4.json, structures/tower5.json, structures/test-platform.json, structures/underwater-ruins1.json, structures/underwater-ruins2.json, structures/underwater-ruins3.json, structures/wither-chamber1.json, structures/canopy-wishing-well1.json, structures/desert-wishing-well1.json, structures/desert-wishing-well2.json, structures/simple-well1.json, structures/wood-draw-wishing-well1.json], resourceFolderLocations=[chests, structures]]
2021-08-28 09:54:46,432 [Worker-Main4] INFO Treasure2 | ITreasureResourceRegistry.java:32 | reading resources file from stream.
2021-08-28 09:54:46,433 [Worker-Main4] INFO Treasure2 | ITreasureResourceRegistry.java:53 | resources -> TemplateResources [resources=[submerged/dingy1.nbt, submerged/sunken-ship1.nbt, submerged/sunken-ship2.nbt, submerged/sunken-ship3.nbt, submerged/underwater-ruins1.nbt, submerged/underwater-ruins2.nbt, submerged/underwater-ruins3.nbt, subterranean/basic1.nbt, subterranean/basic2.nbt, subterranean/basic3.nbt, subterranean/basic4.nbt, subterranean/basic5.nbt, subterranean/cave1.nbt, subterranean/cave2.nbt, subterranean/cobb1.nbt, subterranean/crypt1.nbt, subterranean/ionic1.nbt, subterranean/iron-chamber1.nbt, subterranean/iron-chamber2.nbt, subterranean/mine1.nbt, subterranean/obsidian-chamber1.nbt, subterranean/pirate-chamber1.nbt, subterranean/pirate-chamber2.nbt, subterranean/wither-chamber1.nbt, surface/beached-ship1.nbt, surface/beached-ship2.nbt, surface/beached-ship3.nbt, surface/blacksmith1.nbt, surface/castle1.nbt, surface/church1.nbt, surface/crypt2.nbt, surface/crypt3.nbt, surface/desert-tower2.nbt, surface/fortress1.nbt, surface/house1.nbt, surface/large-tower1.nbt, surface/tower1.nbt, surface/tower2.nbt, surface/tower3.nbt, surface/tower4.nbt, surface/tower5.nbt, surface/test-platform.nbt, wells/canopy-wishing-well1.nbt, wells/desert-wishing-well1.nbt, wells/desert-wishing-well2.nbt, wells/simple-well1.nbt, wells/wood-draw-wishing-well1.nbt], resourceFolderLocations=[submerged, subterranean, surface, wells]]
2021-08-28 09:54:46,446 [Worker-Main4] INFO Treasure2 | ITreasureResourceRegistry.java:32 | reading resources file from stream.
2021-08-28 09:54:46,447 [Worker-Main4] INFO Treasure2 | ITreasureResourceRegistry.java:53 | resources -> DecayResources [resources=[aged_ruleset.json, default_ruleset.json, ruinous_ruleset.json], resourceFolderLocations=[]]
2021-08-28 09:55:15,752 [Worker-Main9] INFO Treasure2 | Treasure.java:96 | in client setup event
2021-08-28 09:57:48,233 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension minecraft:overworld
2021-08-28 09:57:50,064 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension minecraft:the_nether
2021-08-28 09:57:50,088 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension minecraft:the_end
2021-08-28 09:57:50,097 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension atum:atum
2021-08-28 09:57:50,106 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension wrd:the_deeper_depths
2021-08-28 09:57:50,114 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension mythicbotany:alfheim
2021-08-28 09:57:50,120 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension undergarden:undergarden
2021-08-28 10:01:11,189 [Worker-Main8] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: -265 63 1191
2021-08-28 10:01:22,361 [Worker-Main9] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! SCARCE chest at coords: -329 64 855
2021-08-28 10:01:37,427 [Worker-Main8] WARN Treasure2 | AbstractPitGenerator.java:139 | Exiting: Unable to locate cavern ceiling.
2021-08-28 11:26:06,872 [DefaultDispatcher-worker-1] INFO Treasure2 | StandardChestContainer.java:74 | standard chest container created for CLIENT
2021-08-28 11:26:06,873 [DefaultDispatcher-worker-1] INFO Treasure2 | AbstractChestContainer.java:50 | inventory slot count -> 15
2021-08-28 11:26:06,873 [DefaultDispatcher-worker-1] INFO Treasure2 | AbstractChestContainer.java:78 | in buildContainer...
2021-08-28 11:26:06,873 [DefaultDispatcher-worker-1] INFO Treasure2 | AbstractChestContainer.java:50 | inventory slot count -> 9
2021-08-28 11:26:06,873 [DefaultDispatcher-worker-1] INFO Treasure2 | AbstractChestContainer.java:78 | in buildContainer...
2021-08-28 11:26:06,873 [DefaultDispatcher-worker-1] INFO Treasure2 | AbstractChestContainer.java:50 | inventory slot count -> 52
2021-08-28 11:26:06,873 [DefaultDispatcher-worker-1] INFO Treasure2 | AbstractChestContainer.java:78 | in buildContainer...
2021-08-28 11:26:06,873 [DefaultDispatcher-worker-1] INFO Treasure2 | AbstractChestContainer.java:50 | inventory slot count -> 42
2021-08-28 11:26:06,873 [DefaultDispatcher-worker-1] INFO Treasure2 | AbstractChestContainer.java:78 | in buildContainer...
2021-08-28 11:26:06,873 [DefaultDispatcher-worker-1] INFO Treasure2 | AbstractChestContainer.java:50 | inventory slot count -> 14
2021-08-28 11:26:06,873 [DefaultDispatcher-worker-1] INFO Treasure2 | AbstractChestContainer.java:78 | in buildContainer...
2021-08-28 11:27:32,798 [Worker-Main24] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! RARE chest at coords: -281 76 711
2021-08-28 11:34:17,938 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: 999 199 999
2021-08-28 11:34:34,160 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 887 197 1111
2021-08-28 11:34:43,239 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! SCARCE chest at coords: 1047 196 1159
2021-08-28 11:34:46,248 [Worker-Main31] INFO Treasure2 | WellGenerator.java:150 | CHEATER! Wishing Well at coords: 965 192 1175
2021-08-28 11:34:51,869 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: 855 78 903
2021-08-28 11:35:02,306 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 871 129 1255
2021-08-28 11:35:11,822 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 1159 120 1255
2021-08-28 11:35:22,042 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! RARE chest at coords: 1207 169 951
2021-08-28 11:35:32,501 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: 1271 138 1095
2021-08-28 11:35:44,144 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 999 152 1351
2021-08-28 11:35:52,815 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 1287 93 1367
2021-08-28 11:36:00,703 [Worker-Main3] INFO Treasure2 | WellGenerator.java:150 | CHEATER! Wishing Well at coords: 1381 141 1109
2021-08-28 11:36:01,058 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: 1399 63 1207
2021-08-28 11:36:11,446 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! SCARCE chest at coords: 1479 218 1079
2021-08-28 11:36:28,493 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 1447 64 1367
2021-08-28 11:36:38,554 [Worker-Main31] INFO Treasure2 | WitherTreeFeature.java:325 | CHEATER! wither chest at coords: 1191 191 1415
2021-08-28 11:36:55,117 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: 1319 192 1495
2021-08-28 11:37:07,374 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! SCARCE chest at coords: 1447 83 1543
2021-08-28 11:37:11,632 [Worker-Main31] INFO Treasure2 | WellGenerator.java:150 | CHEATER! Wishing Well at coords: 1495 77 1559
2021-08-28 11:37:23,665 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 1591 72 1591
2021-08-28 11:37:44,732 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: 1719 70 1479
2021-08-28 11:37:52,064 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! RARE chest at coords: 1751 73 1751
2021-08-28 11:37:57,998 [Worker-Main31] INFO Treasure2 | WellGenerator.java:150 | CHEATER! Wishing Well at coords: 1863 65 1735
2021-08-28 11:37:58,819 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: 1879 120 1607
2021-08-28 11:38:04,244 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! SCARCE chest at coords: 1943 72 1751
2021-08-28 11:38:13,957 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 2039 79 1575
2021-08-28 11:38:21,370 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: 2135 63 1719
2021-08-28 11:38:34,907 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! RARE chest at coords: 2263 75 1799
2021-08-28 11:38:40,551 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! SCARCE chest at coords: 2311 64 1639
2021-08-28 11:38:46,703 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 2007 66 1895
2021-08-28 11:38:47,244 [Worker-Main3] INFO Treasure2 | WellGenerator.java:150 | CHEATER! Wishing Well at coords: 2213 90 1927
2021-08-28 11:38:52,322 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 2343 65 1927
2021-08-28 11:39:00,603 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: 2231 71 2039
2021-08-28 11:39:07,694 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! SCARCE chest at coords: 2439 76 1799
2021-08-28 11:39:16,434 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! RARE chest at coords: 1991 153 1319
2021-08-28 11:39:21,518 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! UNCOMMON chest at coords: 2471 72 2103
2021-08-28 11:39:37,063 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! SCARCE chest at coords: 1879 77 1223
2021-08-28 11:39:47,813 [Worker-Main3] INFO Treasure2 | WellGenerator.java:150 | CHEATER! Wishing Well at coords: 2117 123 1269
2021-08-28 11:39:48,108 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! COMMON chest at coords: 2119 69 1447
2021-08-28 11:39:59,201 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! EPIC chest at coords: 2055 71 1175
2021-08-28 11:40:12,247 [Worker-Main31] WARN Treasure2 | BigBottomMobTrapPitGenerator.java:91 | Exiting: Unable to locate cavern ceiling.
2021-08-28 11:40:13,604 [Worker-Main3] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! RARE chest at coords: 2151 136 1319
2021-08-28 11:40:53,326 [Worker-Main31] INFO Treasure2 | SurfaceChestFeature.java:309 | CHEATER! SCARCE chest at coords: 1767 66 1335
2021-08-28 13:44:41,102 [Worker-Main4] INFO Treasure2 | TreasureLootTableRegistry.java:121 | reading loot resource file from stream.
2021-08-28 13:44:41,113 [Worker-Main4] INFO Treasure2 | TreasureLootTableRegistry.java:142 | master loot resources lists -> DecayResources [supportingResources=[pools/armor/common.json, pools/armor/uncommon.json, pools/armor/scarce.json, pools/armor/rare.json, pools/armor/epic.json, pools/food/common.json, pools/food/uncommon.json, pools/food/scarce.json, pools/food/rare.json, pools/food/epic.json, pools/items/common.json, pools/items/uncommon.json, pools/items/scarce.json, pools/items/rare.json, pools/items/epic.json, pools/potions/common.json, pools/potions/uncommon.json, pools/potions/scarce.json, pools/potions/rare.json, pools/potions/epic.json, pools/tools/common.json, pools/tools/uncommon.json, pools/tools/scarce.json, pools/tools/rare.json, pools/treasure/common.json, pools/treasure/uncommon.json, pools/treasure/scarce.json, pools/treasure/rare.json, pools/treasure/epic.json], chestResources=[chests/common/general_chest.json, chests/uncommon/general_chest.json, chests/scarce/general_chest.json, chests/rare/general_chest.json, chests/epic/general_chest.json], specialResources=[chests/special/black_pearl_well.json, chests/special/cauldron_chest.json, chests/special/crystal_skull_chest.json, chests/special/gold_skull_chest.json, chests/special/skull_chest.json, chests/special/white_pearl_well.json, chests/special/wither_chest.json], specialLootTableFolderLocations=[chests/special], chestLootTableFolderLocations=[chests/common, chests/uncommon, chests/scarce, chests/rare, chests/epic], supportingLootTableFolderLocatoins=null]
2021-08-28 13:44:41,131 [Worker-Main4] INFO Treasure2 | ITreasureResourceRegistry.java:32 | reading resources file from stream.
2021-08-28 13:44:41,132 [Worker-Main4] INFO Treasure2 | ITreasureResourceRegistry.java:53 | resources -> MetaResources [resources=[structures/basic1.json, structures/basic2.json, structures/basic3.json, structures/basic4.json, structures/basic5.json, structures/beached-ship1.json, structures/beached-ship2.json, structures/beached-ship3.json, structures/blacksmith1.json, structures/castle1.json, structures/cave1.json, structures/cave2.json, structures/church1.json, structures/cobb1.json, structures/crypt1.json, structures/crypt2.json, structures/crypt3.json, structures/desert-tower2.json, structures/dingy1.json, structures/fortress1.json, structures/house1.json, structures/ionic1.json, structures/iron-chamber1.json, structures/iron-chamber2.json, structures/large-tower1.json, structures/mine1.json, structures/obsidian-chamber1.json, structures/pirate-chamber1.json, structures/sunken-ship1.json, structures/sunken-ship2.json, structures/sunken-ship3.json, structures/tower1.json, structures/tower2.json, structures/tower3.json, structures/tower4.json, structures/tower5.json, structures/test-platform.json, structures/underwater-ruins1.json, structures/underwater-ruins2.json, structures/underwater-ruins3.json, structures/wither-chamber1.json, structures/canopy-wishing-well1.json, structures/desert-wishing-well1.json, structures/desert-wishing-well2.json, structures/simple-well1.json, structures/wood-draw-wishing-well1.json], resourceFolderLocations=[chests, structures]]
